,count,ratio
PoolQC,1453,0.9952054794520548
MiscFeature,1406,0.963013698630137
Alley,1369,0.9376712328767123
Fence,1179,0.8075342465753425
FireplaceQu,690,0.4726027397260274
LotFrontage,259,0.1773972602739726
GarageType,81,0.05547945205479452
GarageCond,81,0.05547945205479452
GarageFinish,81,0.05547945205479452
GarageQual,81,0.05547945205479452
GarageYrBlt,81,0.05547945205479452
BsmtFinType2,38,0.026027397260273973
BsmtExposure,38,0.026027397260273973
BsmtQual,37,0.025342465753424658
BsmtCond,37,0.025342465753424658
BsmtFinType1,37,0.025342465753424658
MasVnrArea,8,0.005479452054794521
MasVnrType,8,0.005479452054794521
Electrical,1,0.0006849315068493151
RoofMatl,0,0.0
Exterior1st,0,0.0
RoofStyle,0,0.0
ExterQual,0,0.0
Exterior2nd,0,0.0
YearBuilt,0,0.0
ExterCond,0,0.0
Foundation,0,0.0
YearRemodAdd,0,0.0
SalePrice,0,0.0
OverallCond,0,0.0
OverallQual,0,0.0
HouseStyle,0,0.0
BldgType,0,0.0
Condition2,0,0.0
Condition1,0,0.0
Neighborhood,0,0.0
LandSlope,0,0.0
LotConfig,0,0.0
Utilities,0,0.0
LandContour,0,0.0
LotShape,0,0.0
Street,0,0.0
LotArea,0,0.0
MSZoning,0,0.0
BsmtFinSF1,0,0.0
HeatingQC,0,0.0
BsmtFinSF2,0,0.0
EnclosedPorch,0,0.0
Fireplaces,0,0.0
GarageCars,0,0.0
GarageArea,0,0.0
PavedDrive,0,0.0
WoodDeckSF,0,0.0
OpenPorchSF,0,0.0
3SsnPorch,0,0.0
BsmtUnfSF,0,0.0
ScreenPorch,0,0.0
PoolArea,0,0.0
MiscVal,0,0.0
MoSold,0,0.0
YrSold,0,0.0
SaleType,0,0.0
Functional,0,0.0
TotRmsAbvGrd,0,0.0
KitchenQual,0,0.0
KitchenAbvGr,0,0.0
BedroomAbvGr,0,0.0
HalfBath,0,0.0
FullBath,0,0.0
BsmtHalfBath,0,0.0
BsmtFullBath,0,0.0
GrLivArea,0,0.0
LowQualFinSF,0,0.0
2ndFlrSF,0,0.0
1stFlrSF,0,0.0
CentralAir,0,0.0
SaleCondition,0,0.0
Heating,0,0.0
TotalBsmtSF,0,0.0
MSSubClass,0,0.0
